39.9309x32.8599,40.1311x33.0827,39.9533x32.8612,40.0196x32.3325, 39.5534x33.1238,40.1682x31.9203, 40.4918x32.4766,39.9242x32.8613, 40.2389x33.0328, 39.9223x33.2263, 39.9655x32.6848, 39.0204x33.8058, 39.7984x32.8057, 40.2106x32.2456, 39.4343x32.4955, 40.1066x33.4113, 40.2051x32.6812,39.9784x32.8682, 40.4705x32.6503, 39.9321x32.9119, 40.1889x31.3505,39.5851x32.1447,40.0385x32.9034,39.9669x32.5842, 38.9381x33.5387,39.9622x32.8103
January,437,439,440,439,445,433,440,441,437,442,436,443,440,433,444,434,436,437,436,442,431,437,440,436,445,437
February,429,431,432,430,436,425,432,433,430,434,428,433,432,426,435,427,429,429,428,434,424,429,432,428,436,429
March,522,524,526,524,530,518,527,527,523,528,521,526,525,518,529,520,522,522,522,528,517,522,526,521,528,522
April,562,565,566,564,570,558,568,567,564,568,561,565,565,559,569,560,563,562,563,568,557,562,566,561,567,562
May,641,644,645,643,650,637,648,646,643,647,640,642,644,638,649,639,642,641,643,648,636,641,646,639,645,641
June,653,656,657,655,661,648,660,657,655,659,651,652,655,649,660,650,653,653,654,659,647,652,657,650,655,652
July,656,659,660,658,665,651,663,661,658,662,654,656,658,652,663,653,656,656,657,662,650,656,660,654,659,655
August,598,601,602,600,607,594,604,603,600,604,597,600,601,595,605,596,598,598,599,604,593,598,602,596,602,598
September,518,521,522,520,526,514,523,523,520,524,517,522,521,515,525,516,519,518,519,524,513,519,522,517,524,518
October,485,487,489,487,493,481,489,490,486,490,484,489,488,482,492,483,485,485,485,491,480,485,488,484,492,485
November,429,431,433,431,437,425,432,434,430,435,429,435,433,426,436,427,429,429,428,435,424,430,433,428,437,430
December,423,425,426,425,431,419,426,428,423,428,422,430,427,419,430,420,422,423,422,429,418,423,426,422,432,423
Year,5954,5981,5997,5977,6047,5908,6010,6008,5969,6019,5942,5994,5990,5916,6037,5928,5955,5954,5957,6022,5896,5957,5997,5939,6022,5955
